Source Target
525876398 394728054
1398634886 525876398
282780681 525876398
526504588 525876398
1342675854 525876398
1717907863 525876398
896461214 525876398
755488927 525876398
401465222 525876398
355106983 525876398
634191272 525876398
899057708 525876398
40219913 525876398
233802296 525876398
1318632763 525876398
534653246 525876398
419753670 525876398
963113228 525876398
270845259 525876398
495209933 525876398
262283854 525876398
141991003 525876398
341807457 525876398
386781154 525876398
127294825 525876398
368619882 525876398
394728054 525876398
363992028 201714656
363992028 117526827
363992028 450051216
363992028 329219828
363992028 339256439
363992028 119163005
201714656 363992028
117526827 363992028
450051216 363992028
329219828 363992028
339256439 363992028
119163005 363992028
210593419 246851168
210593419 475292100
210593419 351045413
210593419 227855470
210593419 167944910
210593419 179149487
210593419 299372750
210593419 232121748
210593419 106451278
210593419 39571254
210593419 273088151
210593419 42981528
210593419 283209316
210593419 566747934
246851168 210593419
475292100 210593419
342447371 210593419
167944910 210593419
179149487 210593419
232121748 210593419
299372750 210593419
39571254 210593419
273088151 210593419
42981528 210593419
283209316 210593419
76150187 384612576
76150187 436025577
76150187 1206014317
76150187 1521362640
76150187 57940248
76150187 48180050
76150187 464991060
76150187 461600501
76150187 104010520
76150187 276172891
76150187 502243006
76150187 352693055
384612576 76150187
436025577 76150187
1206014317 76150187
57940248 76150187
48180050 76150187
464991060 76150187
461600501 76150187
104010520 76150187
276172891 76150187
502243006 76150187
352693055 76150187
254103931 547178050
254103931 256632293
254103931 241141288
254103931 315052142
254103931 54592790
254103931 77810553
254103931 434518714
254103931 437156059
254103931 94030975
547178050 254103931
256632293 254103931
315052142 254103931
77810553 254103931
434518714 254103931
437156059 254103931
94030975 254103931
574073857 49564619
574073857 410775628
574073857 126962094
49564619 574073857
126962094 574073857
314960563 32992976
314960563 228781628
32992976 314960563
228781628 314960563
236601110 973176920
236601110 1119877693
973176920 236601110
1119877693 236601110
80971945 15498115
15498115 80971945
758222478 822124153
758222478 790458108
822124153 758222478
790458108 758222478
1034703540 446740993
1034703540 57457283
1034703540 328180868
1034703540 15374215
1034703540 439253801
1034703540 239244714
1034703540 357896491
1034703540 179149487
1034703540 29548883
1034703540 66232137
446740993 1034703540
57457283 1034703540
439253801 1034703540
239244714 1034703540
357896491 1034703540
179149487 1034703540
29548883 1034703540
66232137 1034703540
136406091 379371616
136406091 338794529
136406091 2353809057
136406091 1118567624
136406091 81993387
136406091 360239986
136406091 26841261
136406091 600223890
136406091 68006100
136406091 222242649
136406091 421437372
136406091 232794495
338794529 136406091
1118567624 136406091
81993387 136406091
360239986 136406091
68006100 136406091
222242649 136406091
421437372 136406091
364321254 467925384
364321254 115065835
364321254 159010532
364321254 585981766
364321254 1007708808
364321254 584277354
364321254 334845034
364321254 836268907
364321254 350981871
364321254 100047569
364321254 349877661
364321254 2213433875
364321254 339936116
364321254 573147923
364321254 476059001
364321254 400295549
364321254 33782719
836268907 364321254
585981766 364321254
467925384 364321254
452523817 364321254
584277354 364321254
434189451 364321254
429612451 364321254
349877661 364321254
2213433875 364321254
339936116 364321254
476059001 364321254
336173021 364321254
442939961 364321254
400295549 364321254
33782719 364321254
348910177 245069312
348910177 1522634250
348910177 59019927
348910177 424080928
348910177 33643681
348910177 182995874
348910177 292719267
348910177 538591915
348910177 63559352
348910177 322881012
348910177 2159633986
348910177 93979843
348910177 94480456
348910177 63370441
348910177 363848908
348910177 266819171
348910177 304536406
348910177 256723160
